Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
610;5824;83165002055;8316055;83165002055;Winden im Elztal;Gemeinde;64;gemeinschaftsangehörig;8;2872;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
611;5825;83165003011;8316011;83165003011;Emmendingen;Stadt;63;gemeinschaftsangehörig;8;27642;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
612;5826;83165003024;8316024;83165003024;Malterdingen;Gemeinde;64;gemeinschaftsangehörig;8;3255;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
613;5827;83165003039;8316039;83165003039;Sexau;Gemeinde;64;gemeinschaftsangehörig;8;3362;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
614;5828;83165003043;8316043;83165003043;Teningen;Gemeinde;64;gemeinschaftsangehörig;8;12042;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
615;5829;83165003054;8316054;83165003054;Freiamt;Gemeinde;64;gemeinschaftsangehörig;8;4187;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
616;5830;83165004017;8316017;83165004017;Herbolzheim;Stadt;63;gemeinschaftsangehörig;8;10861;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
617;5831;83165004020;8316020;83165004020;Kenzingen;Stadt;63;gemeinschaftsangehörig;8;10009;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
618;5832;83165004049;8316049;83165004049;Weisweil;Gemeinde;64;gemeinschaftsangehörig;8;2139;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
619;5833;83165004053;8316053;83165004053;Rheinhausen;Gemeinde;64;gemeinschaftsangehörig;8;3758;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
